Country,Sex,80_above,70to79,60to69,50to59,40to49,30to39,20to29,10to19,all_age
Russian Federation,Female,28.4,15.6,9.8,8.9,9.0,11.5,8.8,4.3,96.30000000000001
Rwanda,Both sexes,93.4,48.3,24.3,17.5,9.7,8.0,8.0,3.0,212.2
Rwanda,Male,168.5,76.9,35.3,25.7,14.9,12.4,11.6,4.1,349.4
Rwanda,Female,40.7,28.4,15.1,9.3,4.9,4.1,4.5,1.9,108.9
Saint Lucia,Both sexes,7.2,9.5,12.3,9.3,12.7,7.9,8.9,4.4,72.2
Saint Lucia,Male,18.0,20.8,25.4,19.2,18.7,13.4,15.4,6.3,137.2
Saint Lucia,Female,0.0,0.0,0.0,0.0,7.1,2.7,2.5,2.5,14.8
Saint Vincent and the Grenadines,Both sexes,0.0,9.0,2.7,0.9,3.6,0.7,4.7,3.0,24.6
Saint Vincent and the Grenadines,Male,0.0,19.5,5.4,1.8,5.6,0.0,9.2,3.1,44.599999999999994
Saint Vincent and the Grenadines,Female,0.0,0.0,0.0,0.0,1.4,1.4,0.0,3.0,5.8
Samoa,Both sexes,30.1,15.7,12.6,7.0,5.3,4.8,5.8,2.6,83.9
Samoa,Male,53.9,26.2,20.4,11.3,8.7,8.0,9.0,3.6,141.1
Samoa,Female,17.8,7.7,5.2,2.5,1.5,1.5,2.3,1.6,40.1
Sao Tome and Principe,Both sexes,15.0,7.4,4.9,3.9,3.0,3.3,4.5,1.4,43.4
Sao Tome and Principe,Male,18.6,10.4,7.3,5.7,3.9,4.6,6.1,1.7,58.3
Sao Tome and Principe,Female,11.0,5.9,3.1,2.5,2.1,2.0,3.0,1.1,30.7
Saudi Arabia,Both sexes,8.5,8.2,6.2,4.8,4.9,3.5,4.0,1.6,41.7
Saudi Arabia,Male,11.6,12.3,8.1,6.0,6.3,4.7,5.8,2.4,57.2
Saudi Arabia,Female,5.8,3.7,3.3,2.4,2.5,1.9,1.9,0.8,22.3
Senegal,Both sexes,119.9,70.8,33.7,18.5,8.7,5.8,4.9,2.3,264.59999999999997
Senegal,Male,231.3,121.0,56.4,31.7,15.2,9.5,7.3,3.4,475.79999999999995
Senegal,Female,44.1,33.1,16.3,8.1,3.3,2.4,2.6,1.2,111.1
Serbia,Both sexes,64.6,43.2,22.2,22.2,15.7,10.1,5.9,1.3,185.2
Serbia,Male,121.1,70.6,35.4,35.3,23.9,15.0,9.1,2.2,312.59999999999997
Serbia,Female,33.7,23.0,10.6,9.8,7.6,5.1,2.5,0.3,92.6
Seychelles,Both sexes,25.3,18.6,16.8,14.6,13.8,9.5,8.2,1.5,108.30000000000001
Seychelles,Male,47.8,35.2,30.4,27.0,25.0,16.9,13.9,2.1,198.3
Seychelles,Female,14.3,5.9,3.5,2.9,3.1,2.1,1.7,0.9,34.400000000000006
Sierra Leone,Both sexes,93.7,65.6,39.3,24.9,15.9,13.2,14.8,4.1,271.5
Sierra Leone,Male,112.8,66.9,37.7,23.7,17.8,17.4,19.8,5.2,301.3
Sierra Leone,Female,76.6,64.4,40.8,26.0,14.0,9.1,10.0,3.0,243.9
Singapore,Both sexes,26.8,22.8,15.6,12.4,11.3,7.6,7.6,3.7,107.8
Singapore,Male,46.1,36.5,22.8,18.2,14.8,9.8,10.7,4.0,162.89999999999998
Singapore,Female,14.7,11.0,8.6,6.6,7.9,5.6,4.3,3.3,62.0
Slovakia,Both sexes,21.7,19.5,17.6,21.9,16.6,11.8,9.2,2.5,120.80000000000001
Slovakia,Male,55.5,43.0,32.4,37.8,29.1,20.6,16.1,4.1,238.6
Slovakia,Female,6.7,4.8,5.2,6.8,3.8,2.5,2.1,0.9,32.8
Slovenia,Both sexes,38.9,35.8,26.7,26.4,19.1,14.2,12.3,3.0,176.39999999999998
Slovenia,Male,96.4,60.0,41.0,44.8,30.8,23.7,20.9,4.9,322.5
Slovenia,Female,12.2,17.0,12.8,7.6,6.6,3.8,3.1,0.9,63.99999999999999
Solomon Islands,Both sexes,32.4,13.7,8.9,5.8,4.3,5.3,9.7,4.7,84.8
Solomon Islands,Male,46.3,18.0,12.9,8.7,6.6,8.3,14.3,6.0,121.10000000000001
Solomon Islands,Female,18.8,9.1,5.0,2.7,2.0,2.4,4.9,3.2,48.1
Somalia,Both sexes,49.9,34.2,18.4,12.4,9.2,7.6,6.5,2.4,140.6
Somalia,Male,84.0,48.9,23.3,15.7,12.2,10.4,9.6,3.0,207.10000000000002
Somalia,Female,23.9,20.7,13.4,9.1,6.3,4.9,3.5,1.8,83.6
South Africa,Both sexes,33.3,28.1,23.9,24.7,18.5,14.4,12.6,4.2,159.7
South Africa,Male,61.6,48.9,41.7,42.9,31.5,23.7,20.6,6.1,277.0
South Africa,Female,22.1,15.5,10.4,9.4,6.1,4.7,4.4,2.3,74.9
South Sudan,Both sexes,42.7,27.6,14.4,9.7,5.6,4.7,4.7,1.6,111.0
South Sudan,Male,71.6,39.4,18.2,12.4,7.3,6.5,6.3,1.8,163.5
South Sudan,Female,21.0,17.5,10.9,7.2,3.9,2.8,3.1,1.3,67.7
Spain,Both sexes,21.2,14.2,10.6,11.8,10.6,6.6,5.1,1.5,81.6
Spain,Male,41.3,22.7,15.9,18.1,15.6,9.8,7.6,2.0,133.0
Spain,Female,9.5,7.2,5.8,5.6,5.4,3.3,2.5,1.0,40.3
Sri Lanka,Both sexes,50.9,27.2,19.0,17.0,18.4,17.3,21.9,6.2,177.89999999999998
Sri Lanka,Male,84.7,46.1,32.2,30.1,32.5,29.9,34.6,6.2,296.3
Sri Lanka,Female,28.2,13.0,7.8,5.1,5.0,6.0,10.2,6.2,81.5
Sudan,Both sexes,9.5,6.9,5.7,6.7,11.7,18.3,18.1,5.3,82.2
Sudan,Male,14.0,10.5,8.6,10.3,18.7,29.5,27.2,6.8,125.6
Sudan,Female,6.0,3.7,3.0,3.3,4.9,7.6,8.8,3.7,41.0
Suriname,Both sexes,61.0,40.6,34.1,38.5,30.7,31.6,26.0,11.3,273.79999999999995
Suriname,Male,95.0,65.3,58.7,61.3,51.6,48.4,41.9,10.2,432.4
Suriname,Female,39.2,23.2,13.0,15.9,9.6,14.7,9.3,12.4,137.3
Sweden,Both sexes,45.3,18.4,17.3,20.3,16.6,15.1,13.5,3.5,150.0
Sweden,Male,47.0,26.1,23.5,26.2,23.3,21.8,18.2,4.5,190.6
Sweden,Female,44.2,11.2,11.1,14.1,9.7,8.1,8.6,2.4,109.4
Switzerland,Both sexes,84.6,28.1,21.5,21.7,14.9,9.8,9.0,4.1,193.7
Switzerland,Male,107.3,37.5,30.3,29.3,21.1,13.9,13.6,5.8,258.8
Switzerland,Female,71.1,20.0,13.0,13.9,8.6,5.8,4.3,2.4,139.1
Syrian Arab Republic,Both sexes,10.0,4.4,2.7,2.8,3.4,3.9,3.1,0.7,31.0
Syrian Arab Republic,Male,12.5,6.4,4.0,4.7,5.9,6.5,4.6,0.9,45.5
Syrian Arab Republic,Female,8.0,2.9,1.5,1.2,1.1,1.3,1.5,0.5,18.0
Tajikistan,Both sexes,12.4,9.1,7.6,6.0,4.7,3.6,2.3,1.0,46.7
Tajikistan,Male,17.1,11.2,10.6,10.6,8.0,5.7,3.0,1.3,67.5
Tajikistan,Female,9.1,7.2,4.8,1.9,1.5,1.5,1.6,0.8,28.4
Thailand,Both sexes,27.3,22.6,17.8,17.0,15.0,20.4,18.0,5.6,143.7
Thailand,Male,38.9,34.4,26.1,26.3,25.9,36.3,30.9,9.2,228.0
Thailand,Female,19.5,13.3,10.6,8.5,4.9,4.8,5.0,1.8,68.4
Timor-Leste,Both sexes,27.4,15.9,11.5,7.7,6.8,6.2,9.6,3.0,88.1
Timor-Leste,Male,35.7,22.6,15.3,10.8,10.4,10.3,14.0,2.8,121.9
Timor-Leste,Female,21.8,10.2,7.8,4.5,3.0,2.1,5.2,3.3,57.9
Togo,Both sexes,124.5,77.3,43.3,24.8,15.6,12.9,10.7,4.0,313.09999999999997
Togo,Male,187.6,99.6,54.7,34.7,22.7,18.4,14.3,5.3,437.3
Togo,Female,75.5,58.3,33.0,15.5,8.7,7.4,7.0,2.8,208.20000000000002
Tonga,Both sexes,20.4,10.0,8.1,5.2,3.5,3.5,5.6,2.5,58.800000000000004
Tonga,Male,25.8,12.3,10.8,7.0,4.8,5.0,7.2,2.6,75.5
Tonga,Female,17.7,8.2,6.0,3.2,2.2,2.1,3.9,2.3,45.599999999999994
Trinidad and Tobago,Both sexes,17.6,15.2,16.9,10.1,17.4,19.6,21.9,7.3,126.0
Trinidad and Tobago,Male,50.9,29.5,28.0,17.3,29.3,33.2,36.7,10.6,235.5
Trinidad and Tobago,Female,0.0,4.4,6.6,3.2,5.7,6.1,6.9,3.8,36.7
Tunisia,Both sexes,13.2,8.2,5.9,5.6,4.5,3.7,3.1,0.9,45.099999999999994
Tunisia,Male,16.0,10.9,7.6,8.0,6.4,5.1,4.2,1.0,59.2
Tunisia,Female,11.2,5.9,4.3,3.3,2.7,2.3,2.0,0.9,32.6
Turkey,Both sexes,10.1,5.6,3.0,3.1,6.7,13.8,15.6,5.4,63.3
Turkey,Male,18.5,9.8,4.9,4.9,11.3,22.7,24.3,6.5,102.9
Turkey,Female,5.4,2.3,1.5,1.4,2.4,4.9,6.8,4.2,28.9
Turkmenistan,Both sexes,11.1,9.1,8.2,9.6,10.0,8.6,9.7,5.9,72.2
Turkmenistan,Male,17.2,13.3,13.3,17.0,17.6,14.5,13.6,6.2,112.7
Turkmenistan,Female,7.8,6.1,4.1,3.3,2.8,2.9,5.8,5.6,38.39999999999999
Uganda,Both sexes,153.3,99.1,47.8,29.6,17.9,14.5,14.3,5.3,381.8
Uganda,Male,176.6,88.6,41.9,30.6,20.2,18.1,17.9,6.1,400.0
Uganda,Female,137.2,107.0,52.2,28.8,15.6,10.9,10.7,4.6,367.0
Ukraine,Both sexes,34.2,27.9,25.0,29.8,30.5,27.3,20.4,6.7,201.8
Ukraine,Male,79.0,62.4,51.3,58.4,55.3,48.9,35.9,10.6,401.79999999999995
Ukraine,Female,17.4,10.4,7.2,6.4,7.8,5.8,4.2,2.5,61.7
United Arab Emirates,Both sexes,6.7,5.6,4.4,3.2,2.8,2.8,4.0,1.8,31.3
United Arab Emirates,Male,9.0,7.2,5.6,3.7,3.4,3.5,4.9,3.2,40.5
United Arab Emirates,Female,3.3,1.4,1.6,1.4,0.9,0.8,1.0,0.3,10.7
United Kingdom of Great Britain and Northern Ireland,Both sexes,15.4,7.4,8.5,13.4,15.0,10.8,8.6,2.2,81.30000000000001
United Kingdom of Great Britain and Northern Ireland,Male,19.7,11.3,13.0,20.8,24.0,16.7,13.4,3.2,122.1
United Kingdom of Great Britain and Northern Ireland,Female,12.6,3.9,4.2,6.2,6.1,4.9,3.5,1.2,42.599999999999994
United Republic of Tanzania,Both sexes,80.6,43.0,22.6,15.3,9.1,6.6,6.7,2.5,186.4
United Republic of Tanzania,Male,139.2,67.7,32.6,21.5,12.7,9.5,10.1,3.3,296.6
United Republic of Tanzania,Female,29.4,23.4,14.4,9.6,5.6,3.8,3.5,1.6,91.3
United States of America,Both sexes,25.1,18.4,17.9,21.7,19.3,19.2,18.0,6.3,145.89999999999998
United States of America,Male,49.7,32.5,27.9,32.0,28.5,29.4,28.9,9.0,237.89999999999998
United States of America,Female,9.6,6.6,8.8,11.6,10.1,9.0,6.6,3.4,65.69999999999999
Uruguay,Both sexes,38.9,32.7,23.6,22.1,22.0,20.6,23.0,8.1,191.0
Uruguay,Male,89.7,57.7,39.0,35.6,33.9,31.5,38.4,12.1,337.9
Uruguay,Female,17.5,15.1,10.4,9.8,10.4,9.8,7.1,3.9,84.0
Uzbekistan,Both sexes,4.8,6.6,7.1,7.5,9.7,9.3,10.6,9.0,64.6
Uzbekistan,Male,7.1,11.2,12.8,13.9,16.7,13.9,12.2,8.5,96.3
Uzbekistan,Female,3.5,3.1,2.2,1.7,3.0,4.7,9.0,9.6,36.8
Vanuatu,Both sexes,31.2,13.1,8.2,5.1,3.8,4.6,8.4,4.4,78.8
Vanuatu,Male,45.8,17.9,12.1,8.0,6.1,7.3,13.4,6.0,116.6
Vanuatu,Female,16.8,8.3,4.3,2.4,1.8,1.8,3.6,2.6,41.6
Venezuela (Bolivarian Republic of),Both sexes,8.9,7.1,5.7,4.6,4.0,4.6,5.4,3.0,43.3
Venezuela (Bolivarian Republic of),Male,20.5,12.5,10.3,8.2,6.8,8.2,9.5,4.3,80.3
Venezuela (Bolivarian Republic of),Female,2.2,2.7,1.5,1.1,1.2,1.1,1.3,1.7,12.8
Viet Nam,Both sexes,20.9,16.6,14.8,8.3,7.7,10.3,9.0,1.8,89.4
Viet Nam,Male,29.4,26.2,20.6,12.9,12.8,17.1,13.5,2.5,135.0
Viet Nam,Female,17.1,10.5,10.1,4.0,2.6,3.5,4.2,1.0,53.0
Yemen,Both sexes,13.1,9.7,8.3,9.1,12.2,17.5,17.7,4.5,92.1
Yemen,Male,18.2,14.2,11.9,13.6,17.4,24.8,22.9,5.2,128.2
Yemen,Female,9.4,5.9,4.9,5.1,7.0,9.9,12.3,3.9,58.39999999999999
Zambia,Both sexes,79.7,48.9,25.8,18.7,11.8,8.9,8.3,2.8,204.9
Zambia,Male,152.1,79.0,38.7,27.3,17.0,13.3,12.3,3.9,343.6
Zambia,Female,31.2,26.4,16.0,11.2,6.9,4.6,4.2,1.6,102.1
Zimbabwe,Both sexes,205.7,81.5,41.3,29.4,19.2,13.7,11.3,4.6,406.7
Zimbabwe,Male,285.0,111.5,62.8,47.0,30.1,22.8,19.1,6.4,584.7
Zimbabwe,Female,152.4,59.4,26.4,16.0,9.4,5.5,3.8,2.7,275.6
