Country,Sex,80_above,70to79,60to69,50to59,40to49,30to39,20to29,10to19,all_age
Indonesia,Female,12.0,4.6,3.7,2.4,2.6,2.2,2.6,1.3,31.400000000000006
Iran (Islamic Republic of),Both sexes,14.3,8.8,4.6,3.7,3.5,5.0,6.8,2.8,49.5
Iran (Islamic Republic of),Male,18.2,11.4,5.9,5.2,4.7,6.9,8.0,2.3,62.60000000000001
Iran (Islamic Republic of),Female,10.0,5.7,3.3,2.2,2.3,3.3,5.6,3.3,35.699999999999996
Iraq,Both sexes,9.1,5.8,5.6,6.6,7.0,5.4,4.8,1.2,45.5
Iraq,Male,11.9,7.1,6.5,8.3,7.8,6.3,5.4,1.3,54.599999999999994
Iraq,Female,7.4,4.8,4.8,5.0,6.1,4.5,4.2,1.0,37.8
Ireland,Both sexes,11.0,8.2,12.4,19.5,18.0,13.7,15.8,4.1,102.69999999999999
Ireland,Male,11.7,13.0,22.0,31.8,29.2,22.7,25.8,5.9,162.1
Ireland,Female,10.6,3.8,3.1,7.4,6.8,5.2,5.9,2.2,45.0
Israel,Both sexes,19.0,9.8,7.9,9.4,8.4,5.7,5.9,1.4,67.5
Israel,Male,27.5,13.6,12.2,15.0,14.3,8.2,9.7,2.1,102.6
Israel,Female,13.5,6.6,4.0,4.1,2.7,3.1,2.0,0.7,36.7
Italy,Both sexes,22.9,13.3,10.2,9.5,8.1,6.4,5.0,1.4,76.80000000000001
Italy,Male,37.0,20.6,15.7,13.9,12.4,10.1,8.1,1.8,119.6
Italy,Female,14.6,7.2,5.1,5.2,3.8,2.6,1.9,0.9,41.3
Jamaica,Both sexes,5.3,3.7,2.8,2.9,2.7,2.5,2.8,1.2,23.9
Jamaica,Male,6.7,5.5,4.4,4.9,4.3,4.1,4.3,1.4,35.599999999999994
Jamaica,Female,4.3,2.1,1.2,1.0,1.0,1.0,1.3,0.9,12.8
Japan,Both sexes,27.8,25.7,20.8,23.9,20.7,18.6,18.6,4.8,160.9
Japan,Male,42.6,35.5,28.9,34.5,29.8,26.8,27.1,6.6,231.8
Japan,Female,19.7,17.5,12.9,13.1,11.3,10.0,9.6,3.0,97.1
Jordan,Both sexes,18.8,9.9,5.8,4.9,5.2,4.6,3.9,1.1,54.2
Jordan,Male,25.8,14.2,7.7,6.5,6.0,5.7,4.7,1.2,71.80000000000001
Jordan,Female,13.2,6.0,4.1,3.2,4.3,3.4,3.0,1.0,38.2
Kazakhstan,Both sexes,50.1,30.0,29.2,32.8,37.9,38.5,21.7,9.9,250.1
Kazakhstan,Male,90.6,61.9,57.8,61.6,67.9,66.0,35.7,13.3,454.79999999999995
Kazakhstan,Female,33.7,13.2,9.1,8.3,9.9,11.2,7.8,6.2,99.4
Kenya,Both sexes,56.2,28.0,12.7,8.4,4.8,3.6,3.8,1.4,118.9
Kenya,Male,107.7,49.0,21.1,13.7,7.8,6.0,6.4,2.4,214.1
Kenya,Female,17.1,11.1,5.7,3.7,1.9,1.3,1.2,0.5,42.5
Kiribati,Both sexes,37.1,18.8,14.5,10.4,11.1,16.7,33.5,16.0,158.10000000000002
Kiribati,Male,71.0,30.5,23.5,17.6,19.7,30.2,57.4,24.2,274.1
Kiribati,Female,21.6,11.3,7.2,4.2,3.4,4.5,9.0,7.3,68.5
Kuwait,Both sexes,0.0,4.9,2.6,2.3,2.1,3.4,4.3,0.8,20.4
Kuwait,Male,0.0,0.0,4.0,3.7,2.7,3.3,4.9,1.3,19.9
Kuwait,Female,0.0,11.7,0.0,0.0,1.0,3.4,3.6,0.3,20.0
Kyrgyzstan,Both sexes,14.3,9.0,10.4,11.7,14.8,13.6,9.2,7.3,90.30000000000001
Kyrgyzstan,Male,14.2,18.0,18.1,21.3,25.8,23.2,14.4,8.7,143.7
Kyrgyzstan,Female,14.4,3.3,4.4,3.1,4.3,3.9,4.0,5.9,43.3
Lao People's Democratic Republic,Both sexes,28.7,16.5,11.7,9.7,9.8,11.1,16.1,6.3,109.89999999999999
Lao People's Democratic Republic,Male,44.4,25.7,16.9,13.7,13.6,15.0,21.4,7.8,158.5
Lao People's Democratic Republic,Female,18.1,9.5,7.1,5.9,6.1,7.3,10.7,4.8,69.5
Latvia,Both sexes,31.7,23.7,25.6,30.8,25.4,27.3,18.0,5.4,187.9
Latvia,Male,74.0,54.5,46.5,57.7,43.4,47.2,30.5,9.3,363.09999999999997
Latvia,Female,17.6,8.2,11.1,8.0,8.4,6.7,4.8,1.3,66.10000000000001
Lebanon,Both sexes,11.3,7.6,5.7,5.2,4.5,3.9,3.7,1.0,42.9
Lebanon,Male,16.6,11.2,8.1,7.2,6.4,4.4,3.7,1.0,58.6
Lebanon,Female,7.2,4.0,3.2,2.4,2.3,3.3,3.7,0.9,26.999999999999996
Lesotho,Both sexes,164.7,97.1,55.4,48.5,35.7,28.7,23.3,9.7,463.0999999999999
Lesotho,Male,80.8,45.4,33.1,33.7,29.8,30.4,27.4,8.8,289.4
Lesotho,Female,210.4,133.7,69.9,56.9,40.7,26.9,19.1,10.6,568.2
Liberia,Both sexes,132.1,86.9,45.3,19.2,9.1,5.9,4.6,2.1,305.2
Liberia,Male,140.0,75.2,39.8,19.8,11.2,8.0,6.2,2.6,302.79999999999995
Liberia,Female,126.0,97.1,50.1,18.6,7.1,3.8,2.9,1.5,307.1
Libya,Both sexes,15.1,9.8,7.2,7.8,8.5,7.7,6.6,1.8,64.5
Libya,Male,23.9,16.1,11.6,13.3,13.7,12.2,10.0,2.6,103.4
Libya,Female,8.7,4.4,3.1,2.5,3.0,3.2,3.3,1.0,29.2
Lithuania,Both sexes,46.0,37.5,40.4,46.0,42.2,36.3,27.1,8.1,283.6
Lithuania,Male,126.6,81.6,78.5,85.4,75.0,63.2,49.6,13.4,573.3
Lithuania,Female,18.0,13.9,13.3,12.3,12.0,9.2,3.2,2.5,84.4
Luxembourg,Both sexes,32.8,38.5,21.1,19.2,14.1,9.1,8.0,4.8,147.6
Luxembourg,Male,44.4,50.2,28.9,28.6,20.5,13.0,12.8,6.7,205.1
Luxembourg,Female,26.1,28.6,13.1,9.3,7.3,5.3,3.0,2.9,95.6
Madagascar,Both sexes,56.2,35.9,18.4,11.3,6.6,4.1,3.3,1.9,137.7
Madagascar,Male,98.6,57.6,27.0,16.3,9.8,5.8,4.8,2.7,222.6
Madagascar,Female,20.4,18.1,10.7,6.5,3.5,2.3,1.9,1.1,64.5
Malawi,Both sexes,90.8,46.6,19.8,11.7,6.1,3.9,3.2,1.3,183.4
Malawi,Male,178.0,80.1,33.9,20.8,10.1,6.5,5.2,2.0,336.6
Malawi,Female,32.5,21.6,9.5,4.7,2.2,1.4,1.2,0.6,73.7
Malaysia,Both sexes,47.3,24.3,15.8,10.9,5.9,4.4,4.0,1.9,114.5
